text,date
Lady Propose 01월 영화 이벤트,2018.01.08~2018.01.30
신한 FAN에선 게임만해도 매일매일 포인트,2018.01.01~2018.01.30
FAN 교통카드 포인트 적립 이벤트,2018.01.01~2018.01.30
주요 업종 무이자 할부 안내,2018.01.01~2018.03.29
YOOX 10~15% 추가할인,2018.01.01~2018.01.30
해외직구 EBATES 1월 추가 캐시백,2018.01.01~2018.01.30
"아고다 호텔 할인 이벤트 (괌, 사이판, 이탈리아)",2018.01.02~2018.01.30
내가 있는 곳에 혜택이 딱! 1500포인트도 딱!,2018.01.01~2018.01.30
신한 FAN 개편맞이 OX퀴즈 경품 이벤트,2018.01.03~2018.01.30
올댓에서 복 받아가세요! 이벤트,2018.01.02~2018.01.19
올댓여행 부킹닷컴 마이신한포인트 8% 적립,2018.01.01~2018.06.28
MF일반대출이 드리는 스타벅스 커피 한잔의 여유,2017.12.29~2018.01.30
신한카드 4대보험료 납부 시 무이자할부 혜택,2018.01.01~2018.12.30
카카오페이 신용카드 신규회원 연회비 100% 캐시백,2017.11.01~2018.01.30
카카오톡 선물하기 할인 이벤트,2018.01.01~2018.01.21
DEEP Yourself! DEEP한 댄스 본능을 깨워라!,2017.11.21~2017.12.18
Deep한 행운Dream 이벤트,2017.12.01~2017.12.28
2017 연말 초특급 혜택 해외딥(Deep)구 페스티벌,2017.11.17~2017.12.28
신한FAN 12월 신규가입 이벤트,2017.12.01~2017.12.28
더 플라자 The Lounge Strawberry Collection,2018.01.01~2018.02.27
신한카드 × 일룸 사은품 이벤트,2017.12.28~2018.03.29
새로운 FAN 스마트팩 할인 이벤트,2017.12.28~2018.02.27
신한카드x네이버 스마트한 자동차세 납부 이벤트,2017.12.01~2018.01.02
서머셋 제주신화월드 단독할인 이벤트,2017.12.01~2018.02.05
최대 50% 할인! 2017 올댓쇼핑 대결산!,2017.12.08~2017.12.28
Lady Propose 공연 초청 이벤트,2017.12.22~2018.01.21
제주 퍼시픽랜드 신한카드 50% 할인!,2017.12.21~2018.01.15
택시도 편하게 결제하자 FAN택시페이 런칭이벤트,2017.12.20~2018.01.15
신한 FAN 이용금액별 포인트 적립 이벤트,2017.12.20~2017.12.28
베베쿡 x 신한카드 이유식 첫주문 25%할인,2017.12.18~2018.01.17
신한카드 새해 황금福 드림 페스티벌,2018.01.24~2018.02.28
롯데월드 키즈파크에서 마이신한포인트 사용하세요,2017.12.15~2018.01.30
신한카드 유이자 할부 캐시백 이벤트,2017.12.15~2017.12.28
아고다 한국 호텔 할인 이벤트,2017.12.11~2018.01.09
벅스 자동결제하면 드리고 또 드리는 할인!,2017.09.26~2017.12.28
카카오톡 선물하기 할인 이벤트,2017.12.11~2017.12.28
파크하얏트 서울 Festive Dining,2017.12.11~2017.12.28
일본가맹점·일본아마존 JCB/URS카드 캐시백,2017.12.01~2017.12.28
파라다이스 호텔 부산 호텔 패키지 이벤트,2017.12.07~2017.12.28
신한카드 장기렌터카 고객 감사 이벤트,2017.12.01~2017.12.28
Lady Propose 12월 영화 이벤트,2017.12.07~2017.12.28
혜택이 바로 쏙! 위치기반 알림 서비스!,2017.12.01~2017.12.28
카카오톡 선물하기 할인 이벤트,2017.11.20~2017.12.07
신한 FAN에선 게임만해도 매일매일 포인트,2017.12.01~2017.12.28
"FAN더치페이 캐시백, 포인트 드림 이벤트",2017.12.01~2017.12.28
네이버페이 신한카드(신용) 최대 20% 특별적립 이벤트,2017.12.11~2017.12.28
4대 사회보험 신한카드 자동납부 이벤트,2017.12.01~2018.01.30
"아고다 호텔 할인 (인도네시아, 라오스, 영국)",2017.12.01~2017.12.28
임피리얼 팰리스 서울 만요 produced by 카가망,2017.12.01~2018.01.30
YOOX 10~15% 추가할인 + 캐시백,2017.12.15~2017.12.28
신변보호서비스 신규 가입 이벤트,2017.12.01~2017.12.28
가족형금융안심서비스 이벤트,2017.12.01~2017.12.28
신한카드 스페셜데이 이벤트,2017.12.01~2017.12.28
신한카드 창립 10주년 더페이스샵 1+1,2017.11.22~2017.11.30
