text,date
우리체크카드 배스킨라빈스 4천원 캐시백할인,2017.12.11 ~ 2017.12.25
영화 <쥬만지:새로운 세계> 시사회 초청,2017.12.11 ~ 2017.12.22
우리카드x벅스 제휴이용권 청구할인 이벤트,2017.09.27 ~ 2017.12.26
전국 5대 도시 영화 <1987> 시사회 초청,2017.12.08 ~ 2017.12.20
평창기념카드 쓰고 6성급호텔에서 동계올림픽경기관람까지!,2017.11.24 ~ 2017.12.31
올 연말여행은 아고다 할인 받고 국내 펜션으로 떠나자!,2017.11.15 ~ 2017.12.15
선착순 1만명 스타벅스 카페모카 증정 이벤트,2017.11.17 ~ 2017.12.17
11월 아고다 최대 10% 할인,2017.11.01 ~ 2017.11.30
평창동계올림픽 경기입장권 결제시 10% 캐시백!,2017.09.28 ~ 2017.11.30
위비꿀파트너 친구추가하면 다음날 빼빼로가 슝~,2017.11.06 ~ 2017.11.30
우리카드 결제하고 해외골프 떠나자!,2017.10.26 ~ 2017.11.30
대학생 체크카드 We飛 in CAMPUS,2017.10.01 ~ 2017.11.30
La grillia 청담점 50% 할인!,2017.09.01 ~ 2017.11.30
전시 <다빈치 얼라이브> 티켓 할인 이벤트,2017.10.11 ~ 2017.11.25
우리마스터X신라면세점 선불카드 이벤트,2017.09.05 ~ 2017.11.20
"11♡11 & 수능대박기원! 파리바게뜨 2,000원 청구할인 !",2017.11.10 ~ 2017.11.15
